Date,Time Range,Latitude,Longitude,Incident Type
5/30/2008,3:00AM -4:00AM,42.087,-72.577,SG
5/31/2008,1:00AM - 2:00AM,42.11,-72.57,SG
5/31/2008,11:00PM - 12:00AM,42.091,-72.57,SG
6/1/2008,3:00AM -4:00AM,42.107,-72.562,SG
6/2/2008,3:00AM -4:00AM,42.098,-72.578,MG
6/2/2008,11:00PM - 12:00AM,42.105,-72.562,MG
6/6/2008,3:00AM - 4:00AM,42.091,-72.567,SG
6/6/2008,3:00AM -4:00AM,42.112,-72.556,SG
6/6/2008,3:00AM -4:00AM,42.107,-72.556,SG
6/6/2008,3:00AM -4:00AM,42.1,-72.575,SG
6/6/2008,3:00AM -4:00AM,42.109,-72.551,SG
6/6/2008,3:00AM -4:00AM,42.111,-72.572,SG
6/6/2008,3:00AM -4:00AM,42.112,-72.567,SG
6/6/2008,3:00AM -4:00AM,42.108,-72.565,SG
6/6/2008,3:00AM -4:00AM,42.11,-72.556,SG
6/6/2008,3:00AM -4:00AM,42.107,-72.552,SG
6/6/2008,3:00AM - 4:00AM,42.106,-72.552,SG
6/6/2008,4:00AM - 5:00AM,42.108,-72.565,SG
6/6/2008,4:00AM - 5:00AM,42.114,-72.557,SG
6/6/2008,4:00AM - 5:00AM,42.099,-72.561,SG
6/6/2008,5:00AM - 6:00AM,42.097,-72.572,SG
6/6/2008,5:00AM - 6:00AM,42.095,-72.575,SG
6/6/2008,5:00AM - 6:00AM,42.095,-72.561,SG
6/6/2008,5:00AM - 6:00AM,42.099,-72.56,SG
6/6/2008,5:00AM - 6:00AM,42.1,-72.571,SG
6/7/2008,10:00PM - 11:00PM,42.106,-72.562,SG
6/7/2008,10:00PM - 11:00PM,42.107,-72.559,SG
6/8/2008,1:00AM - 2:00AM,42.102,-72.569,SG
6/8/2008,1:00AM - 2:00AM,42.102,-72.567,SG
6/8/2008,1:00AM - 2:00AM,42.102,-72.568,MG
6/10/2008,11:00PM - 12:00AM,42.109,-72.571,SG
6/10/2008,11:00PM - 12:00AM,42.111,-72.563,SG
6/10/2008,11:00PM - 12:00AM,42.108,-72.568,SG
6/10/2008,11:00PM - 12:00AM,42.099,-72.561,SG
6/10/2008,11:00PM - 12:00AM,42.105,-72.568,SG
6/10/2008,11:00PM - 12:00AM,42.115,-72.569,SG
6/10/2008,11:00PM - 12:00AM,42.103,-72.575,SG
6/10/2008,11:00PM - 12:00AM,42.117,-72.572,SG
6/10/2008,11:00PM - 12:00AM,42.101,-72.565,SG
6/10/2008,11:00PM - 12:00AM,42.109,-72.571,SG
6/10/2008,12:00AM - 1:00AM,42.094,-72.571,SG
6/10/2008,12:00AM - 1:00AM,42.108,-72.567,SG
6/10/2008,12:00AM - 1:00AM,42.105,-72.579,SG
6/11/2008,12:00AM - 1:00AM,42.11,-72.553,SG
6/11/2008,12:00AM - 1:00AM,42.111,-72.571,SG
6/11/2008,12:00AM - 1:00AM,42.107,-72.57,SG
6/11/2008,12:00AM - 1:00AM,42.112,-72.574,SG
6/11/2008,12:00AM - 1:00AM,42.101,-72.573,SG
6/11/2008,12:00AM - 1:00AM,42.108,-72.559,SG
6/11/2008,12:00AM - 1:00AM,42.098,-72.589,SG
6/11/2008,12:00AM - 1:00AM,42.104,-72.553,SG
6/11/2008,1:00AM - 2:00AM,42.108 .,-72.56,SG
6/11/2008,1:00AM - 2:00AM,42.104,-72.562,SG
6/11/2008,1:00AM - 2:00AM,42.117,-72.582,SG
6/13/2008,2:00AM - 3:00AM,42.101,-72.558,SG
6/13/2008,11:00PM - 12:00AM,42.089,-72.573,SG
6/13/2008,12:00AM - 1:00AM,42.093,-72.571,SG
6/13/2008,12:00AM - 1:00AM,42.106,-72.579,SG
6/14/2008,12:00AM - 1:00AM,42.094,-72.572,SG
