Date,Time Range,Latitude,Longitude,Incident Type,Round Count
3/1/2014,4:00PM-5:00PM,42.255,-71.784,PG,(=/>1)
3/4/2014,4:00PM-5:00PM,42.258,-71.812,PG,(=/>1)
3/5/2014,11:00PM-12:00AM,42.271,-71.815,SG,(=/>1)
3/6/2014,12:00AM-1:00AM,42.271,-71.815,SG,(=/>1)
3/7/2014,12:00AM-1:00AM,42.271,-71.815,SG,(=/>1)
3/7/2014,12:00AM-1:00AM,42.271,-71.815,SG,(=/>1)
3/7/2014,1:00AM-2:00AM,42.271,-71.815,SG,(=/>1)
3/7/2014,10:00PM-11:00PM,42.253,-71.791,SG,(=/>1)
3/8/2014,2:00AM-3:00AM,42.255,-71.816,SG,(=/>1)
3/8/2014,2:00AM-3:00AM,42.261,-71.783,SG,(=/>1)
3/8/2014,2:00AM-3:00AM,42.269,-71.794,SG,(=/>1)
3/8/2014,2:00AM-3:00AM,42.279,-71.792,SG,(=/>1)
3/8/2014,6:00PM-7:00PM,42.254,-71.79,SG,(=/>1)
3/8/2014,7:00PM-8:00PM,42.251,-71.833,SG,(=/>1)
3/8/2014,10:00PM-11:00PM,42.268,-71.783,MG,(=/>1)
3/11/2014,1:00AM-2:00AM,42.261,-71.814,SG,(=/>1)
3/15/2014,10:00PM-11:00PM,42.254,-71.812,MG,(=/>1)
3/15/2014,10:00PM-11:00PM,42.254,-71.812,MG,(=/>1)
3/15/2014,10:00PM-11:00PM,42.254,-71.812,MG,(=/>1)
3/15/2014,12:00AM-1:00AM,42.251,-71.784,SG,(=/>1)
3/17/2014,7:00PM-8:00PM,42.255,-71.788,SG,(=/>1)
3/17/2014,11:00PM-12:00AM,42.271,-71.815,SG,(=/>1)
3/17/2014,11:00PM-12:00AM,42.271,-71.815,SG,(=/>1)
3/19/2014,6:00PM-7:00PM,42.245,-71.793,SG,(=/>1)
3/21/2014,11:00PM-12:00AM,42.259,-71.823,MG,(=/>1)
3/22/2014,7:00PM-8:00PM,42.254,-71.791,SG,(=/>1)
3/22/2014,7:00PM-8:00PM,42.254,-71.791,SG,(=/>1)
3/22/2014,7:00PM-8:00PM,42.254,-71.791,SG,(=/>1)
3/23/2014,2:00AM-3:00AM,42.251,-71.816,MG,(=/>1)
3/23/2014,8:00PM-9:00PM,42.275,-71.797,SG,(=/>1)
3/23/2014,11:00PM-12:00AM,42.253,-71.801,SG,(=/>1)
3/29/2014,8:00AM-9:00AM,42.257,-71.82,SG,(=/>1)
4/2/2014,1:00AM-2:00AM,42.245,-71.822,SG,(=/>1)
4/3/2014,1:00AM-2:00AM,42.249,-71.831,SG,(=/>1)
4/3/2014,8:00PM-9:00PM,42.245,-71.838,MG,(=/>1)
4/4/2014,10:00PM-11:00PM,42.261,-71.783,SG,(=/>1)
